anonId,printer,event,klass,layout_sqft,print_s,reason,flags
job-7c500a7939,LG-640,Print End,DUPLICATE_SUMMARY,12.689,39149.0,duplicate,possible_idle_gt4h
job-7c500a7939,LG-640,Print End,DUPLICATE_SUMMARY,12.689,36069.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,LG640_GLOSS_ONLY,12.689,35018.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,32408.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,31416.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,28873.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,27880.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,25094.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,24029.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print End,DUPLICATE_SUMMARY,12.689,21349.0,duplicate,possible_idle_gt4h
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,4.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,4.0,canceled/failed,
job-a0839060c2,LG-640,Print End,LG640_GLOSS_ONLY,5.744,20487.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,5.744,19141.0,duplicate,possible_idle_gt4h
job-a0839060c2,LG-640,Print End,LG640_GLOSS_ONLY,12.689,18501.0,bad_time_or_dims_or_event,possible_idle_gt4h
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,15680.0,duplicate,possible_idle_gt4h
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,14681.0,duplicate,possible_idle_gt4h
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,11897.0,duplicate,
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,10828.0,duplicate,
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,8227.0,duplicate,
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,7232.0,duplicate,
job-a0839060c2,LG-640,Print End,DUPLICATE_SUMMARY,12.689,4699.0,duplicate,
job-ad956d3fcb,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-7c500a7939,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-16b04741be,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,121.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,121.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,121.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-16b04741be,LG-640,Print Canceled,CANCELED,12.689,122.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,124.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-ad956d3fcb,LG-640,Print Canceled,CANCELED,12.689,125.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,128.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,129.0,canceled/failed,
job-7c500a7939,LG-640,Print Canceled,CANCELED,12.689,129.0,canceled/failed,
job-16b04741be,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-ad956d3fcb,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-7c500a7939,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-16b04741be,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-0b663ee2a5,LG-640,Print Canceled,CANCELED,12.689,2883.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,5.744,2915.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,5.744,2915.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-a0839060c2,LG-640,Print Canceled,CANCELED,12.689,2923.0,canceled/failed,
job-0b663ee2a5,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-a0839060c2,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.572,,bad_time_or_dims_or_event,missing_print_times
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,10965.0,duplicate,
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,9774.0,duplicate,
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,7521.0,duplicate,
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,6348.0,duplicate,
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,4093.0,duplicate,
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,2710.0,duplicate,
job-fda2e51b8d,LG-640,Print End,DUPLICATE_SUMMARY,10.136,594.0,duplicate,
job-ccec2ca936,LG-640,Print End,DUPLICATE_SUMMARY,14.995,568.0,duplicate,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,14.995,4119.0,canceled/failed,
job-ccec2ca936,LG-640,Print End,DUPLICATE_SUMMARY,14.995,1162.0,duplicate,
job-ccec2ca936,LG-640,Print End,DUPLICATE_SUMMARY,14.995,585.0,duplicate,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,14.995,3378.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,14.995,3378.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,14.995,3378.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,14.995,3380.0,canceled/failed,
job-ccec2ca936,LG-640,Print End,DUPLICATE_SUMMARY,14.995,594.0,duplicate,
job-fda2e51b8d,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.558,,bad_time_or_dims_or_event,missing_print_times
job-ccec2ca936,LG-640,Print Canceled,CANCELED,16.278,3461.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,16.278,3461.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,16.278,3461.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,16.278,3461.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,16.278,3461.0,canceled/failed,
job-ccec2ca936,LG-640,Print Canceled,CANCELED,16.278,3464.0,canceled/failed,
job-ccec2ca936,LG-640,Print End,DUPLICATE_SUMMARY,16.278,741.0,duplicate,
job-ccec2ca936,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.058,,bad_time_or_dims_or_event,missing_print_times
job-fda2e51b8d,LG-640,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.115,,bad_time_or_dims_or_event,missing_print_times
job-ccec2ca936,LG-540,Print Canceled,CANCELED,15.089,53587.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,15.089,53587.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Error,FAILED,15.089,53587.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print End,DUPLICATE_SUMMARY,15.089,4986.0,duplicate,
job-ccec2ca936,LG-540,Print End,DUPLICATE_SUMMARY,15.089,4367.0,duplicate,
job-ccec2ca936,LG-540,Print End,DUPLICATE_SUMMARY,15.089,1552.0,duplicate,
job-ccec2ca936,LG-540,Print End,DUPLICATE_SUMMARY,15.089,800.0,duplicate,
job-ccec2ca936,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.514,,bad_time_or_dims_or_event,missing_print_times
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.985,6145.0,canceled/failed,
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.973,6145.0,canceled/failed,
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.985,6662.0,canceled/failed,
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.973,6083.0,canceled/failed,
job-ccec2ca936,LG-540,Print End,DUPLICATE_SUMMARY,14.985,1474.0,duplicate,
job-ccec2ca936,LG-540,Print End,DUPLICATE_SUMMARY,14.973,880.0,duplicate,
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.985,15223.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.973,15223.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.985,15223.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.973,15223.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.985,15223.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.973,15223.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Canceled,CANCELED,14.985,15224.0,canceled/failed,possible_idle_gt4h
job-ccec2ca936,LG-540,Print Error,FAILED,14.973,15224.0,canceled/failed,possible_idle_gt4h
job-7540a8aa2a,LG-540,Print End,DUPLICATE_SUMMARY,14.973,11079.0,duplicate,
job-7540a8aa2a,LG-540,Print End,DUPLICATE_SUMMARY,14.973,8318.0,duplicate,
job-7540a8aa2a,LG-540,Print End,DUPLICATE_SUMMARY,14.973,7595.0,duplicate,
job-7540a8aa2a,LG-540,Print End,DUPLICATE_SUMMARY,14.973,4831.0,duplicate,
job-7540a8aa2a,LG-540,Print End,DUPLICATE_SUMMARY,14.973,4243.0,duplicate,
job-7540a8aa2a,LG-540,Print End,DUPLICATE_SUMMARY,14.973,874.0,duplicate,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,51.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,51.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,51.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,51.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,51.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,51.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,52.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,14.973,78.0,canceled/failed,
job-ccec2ca936,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.514,,bad_time_or_dims_or_event,missing_print_times
job-7540a8aa2a,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.514,,bad_time_or_dims_or_event,missing_print_times
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,11.517,98.0,canceled/failed,
job-7540a8aa2a,LG-540,Print Canceled,CANCELED,11.517,98.0,canceled/failed,
job-c21d3d06f4,LG-540,Print Canceled,CANCELED,23.035,104.0,canceled/failed,
job-c21d3d06f4,LG-540,Print Canceled,CANCELED,23.035,107.0,canceled/failed,
job-c21d3d06f4,LG-540,Print Canceled,CANCELED,23.035,111.0,canceled/failed,
job-c21d3d06f4,LG-540,Print Canceled,CANCELED,23.035,117.0,canceled/failed,
job-7540a8aa2a,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.514,,bad_time_or_dims_or_event,missing_print_times
job-ccec2ca936,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.514,,bad_time_or_dims_or_event,missing_print_times
job-4d3cf554e9,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-c91106bc8e,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-dd2b412b5b,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-8e1c9f70aa,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
job-a8f8c09ee8,LG-540,New Job(Queue A),OTHER_EVENT:New Job(Queue A),0.803,,bad_time_or_dims_or_event,missing_print_times
